,equity
2025-03-21,166595.20796821464
2025-03-24,166595.20796821464
2025-03-25,166595.20796821464
2025-03-26,166864.97951821465
2025-03-27,167497.19046821466
2025-03-28,168674.00898421466
2025-03-31,169265.73873421465
2025-04-01,169265.73873421465
2025-04-02,169265.73873421465
2025-04-03,170303.02723421465
2025-04-04,171092.32363421464
2025-04-07,172005.28248421464
2025-04-08,171534.99751992893
2025-04-09,171846.90151992894
2025-04-10,172388.7556627861
2025-04-11,172841.6874627861
2025-04-14,172841.6874627861
2025-04-15,172841.6874627861
2025-04-16,173170.3985627861
2025-04-17,174844.12106278611
2025-04-21,174244.3610627861
2025-04-22,174244.3610627861
2025-04-23,172209.06414135755
2025-04-24,172390.72740564327
2025-04-25,173285.05060564328
2025-04-28,173285.05060564328
2025-04-29,170698.4106056433
2025-04-30,169099.00923600045
2025-05-01,169390.11383600047
2025-05-02,170500.67755742904
2025-05-05,172066.86143242905
2025-05-06,173624.53753385763
2025-05-07,174096.1192838576
2025-05-08,174506.3383695719
2025-05-09,175568.87741957192
2025-05-12,177749.52903385763
2025-05-13,179018.93426242904
2025-05-14,178143.14426242904
2025-05-15,178225.52291242903
2025-05-16,179115.03466242904
2025-05-19,179115.03466242904
2025-05-20,179115.03466242904
2025-05-21,179802.73931242904
2025-05-22,180931.55826242905
2025-05-23,180747.18667671477
2025-05-27,180747.18667671477
2025-05-28,180747.18667671477
2025-05-29,179921.5420517148
2025-05-30,181402.21176821477
2025-06-02,182073.55716821476
2025-06-03,182179.46461821476
2025-06-04,182244.93741821474
2025-06-05,182896.17241821473
2025-06-06,182896.17241821473
2025-06-09,184101.65317892903
2025-06-10,185231.02603607188
2025-06-11,185406.25203607188
2025-06-12,185406.25203607188
2025-06-13,185406.25203607188
2025-06-16,186857.08323607186
2025-06-17,188192.69123607187
2025-06-18,189254.01749907187
2025-06-20,190139.24199907185
2025-06-23,190213.8133122147
2025-06-24,190705.7617122147
2025-06-25,190786.79843364327
2025-06-26,191768.31793364327
2025-06-27,191789.35323364325
2025-06-30,192024.37263364324
2025-07-01,193923.8025622147
2025-07-02,194966.2439622147
2025-07-03,194966.2439622147
2025-07-07,194966.2439622147
2025-07-08,194966.2439622147
2025-07-09,194966.2439622147
2025-07-10,195274.67724792898
2025-07-11,195274.67724792898
2025-07-14,194908.59041935756
2025-07-15,194937.35613364328
2025-07-16,194474.79549078614
2025-07-17,197044.15904078615
2025-07-18,198038.6233265004
2025-07-21,197037.58344078614
2025-07-22,198266.35964078616
2025-07-23,198036.02186935756
2025-07-24,200091.79966935754
2025-07-25,199912.0950550718
2025-07-28,199652.23505507183
2025-07-29,200538.9775528575
2025-07-30,200185.72926714324
2025-07-31,199805.34391714324
2025-08-01,201728.98303142894
2025-08-04,200662.18421000036
2025-08-05,202345.57051000034
2025-08-06,202231.50193857175
2025-08-07,203975.04723857174
2025-08-08,204139.00675285747
2025-08-11,202861.9256064289
2025-08-12,204553.85780642892
2025-08-13,204728.0402064289
2025-08-14,206464.9030564289
2025-08-15,206096.5556564289
2025-08-18,206220.7706564289
2025-08-19,206763.44905642892
2025-08-20,205741.87619928605
2025-08-21,205751.52884928606
2025-08-22,205751.52884928606
2025-08-25,205793.30684928605
2025-08-26,205793.30684928605
2025-08-27,205793.30684928605
2025-08-28,206036.66644928604
2025-08-29,207007.53629928603
2025-09-02,207134.51779928603
2025-09-03,207088.85877071458
2025-09-04,206053.5587707146
2025-09-05,205210.73877071458
2025-09-08,206057.82107071456
2025-09-09,206159.99362071455
2025-09-10,208638.06224571457
2025-09-11,209537.09934571458
2025-09-12,209708.0173457146
2025-09-15,210511.49144571458
2025-09-16,210019.72001714315
2025-09-17,210019.72001714315
2025-09-18,210879.69551714315
2025-09-19,210168.17051714315
2025-09-22,210236.87291714316
2025-09-23,209509.19291714317
2025-09-24,209509.19291714317
2025-09-25,209509.19291714317
2025-09-26,210208.36276000028
2025-09-29,210627.76276000027
2025-09-30,211862.98276000028
2025-10-01,212934.44926000028
2025-10-02,212934.44926000028
2025-10-03,213368.5590100003
2025-10-06,213392.7032600003
2025-10-07,212925.4504600003
2025-10-08,212925.4504600003
2025-10-09,212925.4504600003
2025-10-10,212942.41566000032
2025-10-13,213135.2696600003
2025-10-14,212711.05823142888
2025-10-15,212812.2417314289
2025-10-16,213103.4340314289
2025-10-17,213365.60763142887
2025-10-20,213365.60763142887
2025-10-21,214474.54434214317
2025-10-22,214316.078599286
2025-10-23,214263.96272785743
2025-10-24,214067.93777785744
2025-10-27,214067.93777785744
2025-10-28,216065.2607278574
2025-10-29,215043.83065642882
2025-10-30,216380.60591357166
2025-10-31,216833.48801357165
2025-11-03,216875.27801357166
2025-11-04,216937.56189607165
2025-11-05,218706.0304675002
2025-11-06,219836.57800850022
2025-11-07,220153.21250850023
2025-11-10,220153.21250850023
2025-11-11,220153.21250850023
2025-11-12,220153.21250850023
2025-11-13,219982.6303656431
2025-11-14,219982.6303656431
2025-11-17,220601.2401156431
2025-11-18,220229.5601156431
2025-11-19,219618.98225850024
2025-11-20,220742.96635850024
2025-11-21,220854.72385850025
2025-11-24,222460.98385850026
2025-11-25,222460.98385850026
2025-11-26,222460.98385850026
2025-11-28,222460.98385850026
2025-12-01,222460.98385850026
2025-12-02,222533.18612278596
2025-12-03,222533.18612278596
2025-12-04,222533.18612278596
2025-12-05,223804.62917992883
2025-12-08,223843.34917992883
2025-12-09,223843.34917992883
2025-12-10,224856.9883013574
2025-12-11,225508.97479421453
2025-12-12,227424.79436564312
2025-12-15,227424.79436564312
2025-12-16,227424.79436564312
2025-12-17,227745.36579421454
2025-12-18,226382.40139421454
2025-12-19,228401.39699421453
2025-12-22,228401.39699421453
2025-12-23,228401.39699421453
2025-12-24,228401.39699421453
2025-12-26,228401.39699421453
2025-12-29,228401.39699421453
2025-12-30,228401.39699421453
